nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
RedDoorz Plus near Dharmawangsa Square,"Jl. Panglima Polim III No.72, Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp278.250,3,5,Jakarta Selatan,-6.252033404933440,106.80082436046600
UROOMS Senayan,"Jl. Tentara Pelajar No 13, Kebayoran Lama, Jakarta, Indonesia",Rp219.231,1,1,Jakarta Selatan,-6.218366581324230,106.79236021068900
Sanur Elok Residence,"Jl. Genteng ijo No. 78 A Karet Pedurenan Jakarta Selatan, Setiabudi, Rasuna Said, Jakarta, Indonesia",Rp400.000,2,3,Jakarta Selatan,-6.220473616514280,106.8275413683610
RedDoorz @ Meruya 2,"Jl. Cemara Kavling DKI Blok 158, No. 10-11, Meruya, Jakarta Barat",Rp250.271,1,1,Jakarta Barat,-6.206253583069740,106.7304773576440
RedDoorz near Pancoran,"Jl. Pengadegan Barat III No.20, Pancoran, Jakarta Selatan, Indonesia",Rp183.286,1,1,Jakarta Selatan,-6.249197975031220,106.85294002535400
OYO 90310 Cosmo Harmoni,"Ruko Harmoni Plaza Blok B No.18, Jl. Suryopranoto 2, RT 2 RW 8 Petojo Utara Jakarta 10130, Jakarta",Rp220.469,1,1,Jakarta Pusat,-6.167598808992860,106.81914533978800
RedDoorz near ITC Cempaka Mas,"Jl. Sunter Kemayoran No. 18 Jakarta Utara MS Residence, Jakarta, Indonesia",Rp170.000,1,1,Jakarta Utara,-6.160831928762690,106.8735569612240
RedDoorz Plus @ Cideng Barat,"Jl. Cideng Barat No. 25, Jakarta Pusat 10140, Jakarta, Indonesia",Rp250.478,1,1,Jakarta Pusat,-6.164526626029100,106.81028305486900
OYO 1111 Pasar Baru Inn,"29, Jl. Pintu Air V, RT.8/RW.8, Ps. Baru, Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Central Jakarta,10710",Rp165.177,3,3,Jakarta Pusat,-6.162924159450880,106.83050863767200
RedDoorz near ITC Mangga Dua,"Jl. Tiangseng No.4, RT.3/RW.6, Mangga Dua Sel., Sawah Besar, Kota Jakarta Pusat",Rp165.092,2,2,Jakarta Pusat,-6.137753281560110,106.82224867021200
RedDoorz near Seasons City Mall,"Jl. Jelambar Baru Raya No.1B RT.9/RW.2, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp178.054,1,1,Jakarta Barat,-6.155056316547110,106.78957682523400
Snow White Residence near Grogol RedPartner,"Jl. Dr. Susilo VI No.6, Grogol, Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Rp143.228,1,1,Jakarta Barat,-6.165082426970190,106.789897868361
OYO 2223 J&b Room Utan Kayu,"Jl. Utan Kayu Raya No.69S, RT.12/RW.5, Utan Kayu Utara, Kec. Matraman",Rp141.881,1,1,Jakarta Timur,-6.193411703662080,106.86875136836100
RedDoorz Plus near Ancol,"JL RE Martadinata No.2, RT.6/RW.4, Ancol, Pademangan, Jakarta Utara, DKI Jakarta, Indonesia",Rp196.650,2,5,Jakarta Utara,-6.130728556571610,106.83249692697000
RedDoorz near Seasons City Mall 3,"Jalan Dokter Makaliwe Raya, No.45, Grogol, Grogol petamburan, Jakarta Barat, DKI Jakarta",Rp200.970,1,1,Jakarta Barat,-6.159126558865340,106.79194692603200
MK House Tendean,"Jl. Aman No.1 Rt.13/Rw.02, Tendean, Jakarta, Indonesia",Rp276.923,2,2,Jakarta Selatan,-6.240387624998850,106.82945189719700
RedDoorz near Central Park Mall,"Jl. Tawakal Ujung Raya No. 14 RT 001/RW008, Grogol Petamburan, Tomang, DKI Jakarta, Indonesia",Rp183.424,2,2,Jakarta Barat,-6.172059029072340,106.79293561254100
Rumahku Hayam Wuruk RedPartner,"Jl. Batu Tulis Raya No.52d, Kb. Klp., Gambir, Kota Jakarta Pusat, Indonesia",Rp143.750,2,5,Jakarta Pusat,-6.162845359423970,106.82616318185200
RedDoorz @ Tanjung Duren,"Jl. Taman Daan Mogot Raya V No. 5, Tanjung Duren Utara Grogol Petamburan RT 3, RW 1, Tanjung Duren, DKI Jakarta, Indonesia",Rp167.072,2,2,Jakarta Barat,-6.16413398980464,106.77821289994500
Residence Minimalis Mampang,"Jl. Pondok Jaya X no 51 Kel. Pela Mampang, Kec. Mampang Prapatan, Jakarta Selatan",Rp150.000,2,5,Jakarta Selatan,-6.250556524496960,106.82348658370500
RedDoorz Plus @ Danau Sunter Utara,"Jl. Danau Sunter Utara No. 57 Sunter, DKI Jakarta, Indonesia",Rp223.734,1,1,Jakarta Utara,-6.1391423148405600,106.8596073395240
Bobobox Kota Tua,"Jl. Taman Fatahillah No.3, RT.7/RW.7, Kel. Pinangsia, Kec. Taman Sari, Jakarta Barat, DKI Jakarta, Indonesia",Rp205.068,2,2,Jakarta Barat,-6.133728682105700,106.81326421254000
RedDoorz Plus near GBK Senayan,"Jl. Palmerah Barat No.110, Palmerah, Jakarta Barat, Indonesia",Rp341.275,2,2,Jakarta Barat,-6.207116170188990,106.79105632418100
RedDoorz @ Jagakarsa 2,"Jl. Moh. Kahfi 1 No.59, Jagakarsa, Jakarta Selatan, DKI Jakarta, Indonesia",Rp160.650,1,1,Jakarta Selatan,-6.321676914287920,106.81118652603400
RedDoorz @ Ruko ITC Roxy Mas,"Komp. Ruko ITC Roxy Mas Blok E1 No. 42, Grogol, Jakarta, DKI Jakarta",Rp155.250,2,2,Jakarta Pusat,-6.169006261526150,106.80424332603300
Wisma Gading Indah,"Jl. Tanah Merah No. 30 - 31, Tugu Selatan, Koja, Kelapa Gading, Jakarta, Indonesia",Rp195.367,2,2,Jakarta Utara,-6.140320780801560,106.90928865116400
Bobobox Kebayoran Baru,"Jl. Panglima Polim Raya No. 57-59 Kebayoran Baru RT 01 RW 06 Melawai Kec. Kebayoran Baru, Jakarta, DKI Jakarta, Indonesia",Rp252.350,2,2,Jakarta Selatan,-6.249078268385740,106.79773039719700
RedDoorz Plus near Mangga Besar Station 2,"Jl. Mangga Besar IV, Taman Sari, Kota Tua, Jakarta Barat",Rp172.040,2,4,Jakarta Barat,-6.1498779220947900,106.82316165486800
